title,release_date,year,tmdb_id,overview,original_language,genre_ids,poster_path,poster_url,backdrop_path,backdrop_url,rating,no_of_persons_voted,popularity,adult
Ice Age: Boiling Point,2027-02-04,2027,1384758,"A dinosaur-and-lava-filled madcap adventure that takes Manny, Sid, Diego, Ellie, Scrat and the rest of the herd to visit never-before-seen corners of the treacherous Lost World.",en,"16,35,10751,12",/yga4pd5kMH7Zpto8biCjEKVkLAh.jpg,https://image.tmdb.org/t/p/w500/yga4pd5kMH7Zpto8biCjEKVkLAh.jpg,/g30NHIAOg76gacGVrT0uGPsJh40.jpg,https://image.tmdb.org/t/p/w500/g30NHIAOg76gacGVrT0uGPsJh40.jpg,0.0,0,3.1372,False
Untitled Ataraxia Sequel,2027-02-05,2027,1628117,"Ever since the storm subsided and the aberrations it birthed withered into the ruins, the Impact Zone has been closely monitored - its horrors believed contained. But when strange infections begin appearing beyond the Impact Zone's borders, it becomes clear that the nightmare is far from over...",en,"27,878,14",,,,,0.0,0,0.0339,False
Triple Bluff,2027-02-09,2027,1607121,Sequel to the 2024 film Double Bluff. Plot TBA.,en,,,,,,0.0,0,0.0738,False
K-Pop Superstar,2027-02-11,2027,1517333,A young Korean-American woman defies her family's wishes to compete in a televised competition to find the next K-pop girl group.,en,10402,,,,,0.0,0,0.5409,False
The Nightingale,2027-02-11,2027,458896,The lives of two French sisters are torn apart by the onset of World War II.,en,"18,36,10752",/ghcC57Zl7qmOZWFqvc6aPBUC2fA.jpg,https://image.tmdb.org/t/p/w500/ghcC57Zl7qmOZWFqvc6aPBUC2fA.jpg,,,0.0,0,1.3705,False
Broman,2027-02-14,2027,1273854,Broman and his band of sidekicks fight an elusive threat,en,,/5n2rXWJxEFy3kwICxO649vfQTEL.jpg,https://image.tmdb.org/t/p/w500/5n2rXWJxEFy3kwICxO649vfQTEL.jpg,,,0.0,0,0.4403,False
The Hollow Season,2027-02-25,2027,1573756,"In the remote mountain town of Graven Hollow, autumn is more than just a season — it’s a warning. Every thirteen years, as the harvest moon rises and the leaves turn blood-red, the town prepares for a ritual it dares not speak aloud. When a group of college friends arrives for the annual fall festival, they’re drawn into a chilling legend about the Hollow Man — a masked figure born of fire and betrayal, who returns to collect a blood debt. As the friends unravel the town’s secrets and fight to survive, they discover that tradition runs deep… and some roots are soaked in horror.",en,"27,9648,53",/rhmqyB3tfr7jGM1UN9JvoAAHhyc.jpg,https://image.tmdb.org/t/p/w500/rhmqyB3tfr7jGM1UN9JvoAAHhyc.jpg,/r1Tl36IVbLzU4LBwd3LOMbt1FDq.jpg,https://image.tmdb.org/t/p/w500/r1Tl36IVbLzU4LBwd3LOMbt1FDq.jpg,0.0,0,0.1099,False
Panic Carefully,2027-02-25,2027,1397972,Described as a paranoid thriller about a hunt for a cyber-terrorist in the vein of Mr. Robot and The Silence of the Lambs.,en,53,/h8Nh8xIPUtztXxRxSBfLizwqY9.jpg,https://image.tmdb.org/t/p/w500/h8Nh8xIPUtztXxRxSBfLizwqY9.jpg,,,0.0,0,1.2848,False
Live Like That,2027-02-26,2027,1657967,"Based on an inspiring story about a family whose faith is tested by an unimaginable loss, and what they choose to do next, in the midst of grief, they make a surprising decision. Instead of responding with anger, they choose forgiveness and set out to help heal a divided community. What begins as private heartbreak becomes a broader movement of hope and connection, showing how faith, love, and unity can bring light even to the darkest moments.",en,18,,,,,0.0,0,0.7337,False
Wafflehead,2027-02-26,2027,1209628,Two documentarians settle into a small town and persuade a few hillbilly locals to help them find the sole survivor of a massacre.,en,"27,35",,,,,0.0,0,0.7452,False
Puro R.A.P.,2027-03-01,2027,1595911,"Five young Panamanian freestyle artists fight to turn their craft into a way of life, as rap becomes their only voice in a country that doesn’t always listen.",en,99,/k1SJr0mGRSWM8MluMrtRInCwG37.jpg,https://image.tmdb.org/t/p/w500/k1SJr0mGRSWM8MluMrtRInCwG37.jpg,/rAbUPJonlqLRhDvL7B5hP3V62Ih.jpg,https://image.tmdb.org/t/p/w500/rAbUPJonlqLRhDvL7B5hP3V62Ih.jpg,0.0,0,0.4103,False
Plátano Champion,2027-03-02,2027,1608653,A summary of the Dominican Republic's undefeated championship run in the 2013 World Baseball Classic.,en,"99,36",/8FilXyOOwKaORGW1XqaTs45UnfO.jpg,https://image.tmdb.org/t/p/w500/8FilXyOOwKaORGW1XqaTs45UnfO.jpg,/6eHQ4ou2frH4MxwRTOyagnsPVdZ.jpg,https://image.tmdb.org/t/p/w500/6eHQ4ou2frH4MxwRTOyagnsPVdZ.jpg,0.0,0,0.0886,False
Gatto,2027-03-03,2027,1497464,"After years of maneuvering the canal-ridden, superstitious city, a black cat named Nero begins to question whether he’s lived the right lives. Indebted to a local feline mob boss, Nero finds himself in a quandary and is forced to forge a truly unexpected friendship that may finally lead him to his purpose—unless Venice gets the better of him first.",en,"10751,16,80,35",/1ckhy2o9Zv06LvnBKHaNCAjo5bD.jpg,https://image.tmdb.org/t/p/w500/1ckhy2o9Zv06LvnBKHaNCAjo5bD.jpg,/etB2OT0nUknOAPZV7EgbEbt6HJh.jpg,https://image.tmdb.org/t/p/w500/etB2OT0nUknOAPZV7EgbEbt6HJh.jpg,0.0,0,1.1436,False
The Thomas Crown Affair,2027-03-04,2027,615121,"A reimagining of the 1968 film, but set in Europe.  Plot TBA.",en,"80,18,10749",,,,,0.0,0,1.474,False
Fish in a Barrel,2027-03-05,2027,1636855,"A group of friends devise a plan to avoid the workforce after graduating college. This plan however, could be detrimental to their lives.",en,"35,53,80,18,28,27",/wRHxxuIRubChdjdNuJfFWg6v6zC.jpg,https://image.tmdb.org/t/p/w500/wRHxxuIRubChdjdNuJfFWg6v6zC.jpg,/nr8Th6xwug9QPjHa7IBUlMH3Ul4.jpg,https://image.tmdb.org/t/p/w500/nr8Th6xwug9QPjHa7IBUlMH3Ul4.jpg,0.0,0,0.2392,False
