year_film,film,film_key,release_month,query,status,matched_title,matched_vanity,matched_release_year,tomatometer_rating,audience_rating,poster_url,rt_url,match_score,match_reason,rt_updated_at,fetched_at,error_message
2004,Sideways,sideways,,Sideways,matched,Sideways,sideways,2004,97,79,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p34948_p_v8_an.jpg,https://www.rottentomatoes.com/m/sideways,205,"ratio=1.00, exact-title, exact-year, main-title, has-score",2026-04-08T23:43:30.293Z,2026-04-10T00:05:42.712409+00:00,
2004,The Aviator,the aviator,,The Aviator,matched,The Aviator,aviator,2004,86,79,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p35190_p_v8_aj.jpg,https://www.rottentomatoes.com/m/aviator,205,"ratio=1.00, exact-title, exact-year, main-title, has-score",2026-04-09T04:33:11.552Z,2026-04-10T00:05:42.712409+00:00,
2005,Brokeback Mountain,brokeback mountain,,Brokeback Mountain,matched,Brokeback Mountain,brokeback_mountain,2005,88,82,https://resizing.flixster.com/jgvAYJCG2HJh8uNwM1u-yAQ79Ug=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2ZlMGJjZDQ1LWY4YjMtNGQ1My1iZmNmLTk1NzhjNjc2Mzg1ZC5qcGc=,https://www.rottentomatoes.com/m/brokeback_mountain,205,"ratio=1.00, exact-title, exact-year, main-title, has-score",2026-04-09T03:43:38.547Z,2026-04-10T00:05:42.712409+00:00,
2005,Capote,capote,,Capote,matched,Capote,1151898-capote,2005,89,82,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p90443_p_v8_aa.jpg,https://www.rottentomatoes.com/m/1151898-capote,205,"ratio=1.00, exact-title, exact-year, main-title, has-score",2026-04-09T18:32:25.423Z,2026-04-10T00:05:42.712409+00:00,
2005,Crash,crash,,Crash,matched,Crash,1144992-crash,2004,73,88,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p35710_p_v12_aq.jpg,https://www.rottentomatoes.com/m/1144992-crash,193,"ratio=1.00, exact-title, year-plus-one, main-title, has-score",2026-04-09T06:42:03.950Z,2026-04-10T00:05:42.712409+00:00,
2005,"Good Night, and Good Luck.",good night and good luck,,"Good Night, and Good Luck.",matched,"Good Night, and Good Luck.",1152019-good_night_and_good_luck,2005,93,83,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p89817_p_v8_ac.jpg,https://www.rottentomatoes.com/m/1152019-good_night_and_good_luck,205,"ratio=1.00, exact-title, exact-year, main-title, has-score",2026-04-08T21:04:44.354Z,2026-04-10T00:05:42.712409+00:00,
2005,Munich,munich,,Munich,matched,Munich,munich,2005,79,83,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p159722_p_v13_aw.jpg,https://www.rottentomatoes.com/m/munich,205,"ratio=1.00, exact-title, exact-year, main-title, has-score",2026-04-08T21:02:59.103Z,2026-04-10T00:05:42.712409+00:00,
2006,Babel,babel,,Babel,matched,Babel,babel,2006,68,77,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p161617_p_v10_an.jpg,https://www.rottentomatoes.com/m/babel,205,"ratio=1.00, exact-title, exact-year, main-title, has-score",2026-04-08T21:02:55.781Z,2026-04-10T00:05:42.712409+00:00,
2006,Letters from Iwo Jima,letters from iwo jima,,Letters from Iwo Jima,matched,Letters From Iwo Jima,letters_from_iwo_jima,2006,91,86,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p164369_p_v10_aa.jpg,https://www.rottentomatoes.com/m/letters_from_iwo_jima,205,"ratio=1.00, exact-title, exact-year, main-title, has-score",2026-04-09T17:09:36.497Z,2026-04-10T00:05:42.712409+00:00,
2006,Little Miss Sunshine,little miss sunshine,,Little Miss Sunshine,matched,Little Miss Sunshine,little_miss_sunshine,2006,91,91,https://resizing.flixster.com/yGlyKz6aN6j-218YipCnLF8kK3s=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2M1ZjJjN2VkLTcwZjMtNDNmYy1iMzk0LWYzNzdiOGExMzE1OC5qcGc=,https://www.rottentomatoes.com/m/little_miss_sunshine,205,"ratio=1.00, exact-title, exact-year, main-title, has-score",2026-04-08T21:02:03.117Z,2026-04-10T00:05:42.712409+00:00,
